,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nfl.g.20250914018,2025-09-14-07:00,San Francisco,New Orleans,"-3, O/U 40.5",40.5,4.09,5.71,-110.0,1.910,True,40.5,95.91,94.29,-110.0,1.910,False,-160.0,1.620,86.28,90.74,True,135.0,2.350,13.72,9.26,False,-3,-105.0,1.950,51.47,33.25,True,3,-115.0,1.870,48.53,66.75,False
0,nfl.g.20250914020,2025-09-14-07:00,Buffalo,NY Jets,"-5.5, O/U 47.5",47.5,29.28,14.3,-110.0,1.910,False,47.5,70.72,85.7,-110.0,1.910,True,-285.0,1.350,98.51,97.29,True,230.0,3.300,1.49,2.71,False,-5.5,-115.0,1.870,32.99,53.35,True,5.5,-105.0,1.950,67.01,46.65,False
0,nfl.g.20250914022,2025-09-14-07:00,Carolina,Arizona,"-7, O/U 45.5",45.5,26.73,8.51,-110.0,1.910,True,45.5,73.27,91.49,-110.0,1.910,False,275.0,3.750,3.51,3.29,False,-350.0,1.280,96.49,96.71,True,7,-110.0,1.910,56.27,66.67,True,-7,-110.0,1.910,43.73,33.33,False
0,nfl.g.20250914023,2025-09-14-07:00,Seattle,Pittsburgh,"-3.5, O/U 40.5",40.5,13.35,12.07,-110.0,1.910,True,40.5,86.65,87.93,-110.0,1.910,False,170.0,2.700,15.98,10.75,True,-210.0,1.480,84.02,89.25,False,3.5,-110.0,1.910,30.52,42.18,True,-3.5,-110.0,1.910,69.48,57.82,False
0,nfl.g.20250914033,2025-09-14-07:00,Cleveland,Baltimore,"-12.5, O/U 46.5",46.5,17.06,14.0,-110.0,1.910,True,46.5,82.94,86.0,-110.0,1.910,False,650.0,7.500,1.81,3.47,False,-1000.0,1.100,98.19,96.53,True,12.5,-110.0,1.910,19.35,46.96,False,-12.5,-110.0,1.910,80.65,53.04,True
0,nfl.g.20250915013,2025-09-15-07:00,LA Chargers,Las Vegas,"-3.5, O/U 46.5",46.5,50.07,8.05,-115.0,1.870,False,46.5,49.93,91.95,-105.0,1.950,True,-190.0,1.530,92.35,89.95,True,155.0,2.550,7.65,10.05,False,-3.5,-105.0,1.950,51.99,51.14,True,3.5,-115.0,1.870,48.01,48.86,False
0,nfl.g.20250915034,2025-09-15-07:00,Tampa Bay,Houston,"-2.5, O/U 42.5",42.5,17.36,8.5,-110.0,1.910,False,42.5,82.64,91.5,-110.0,1.910,True,125.0,2.250,63.28,29.47,True,-150.0,1.670,36.72,70.53,False,2.5,-105.0,1.950,54.37,54.84,True,-2.5,-115.0,1.870,45.63,45.16,False
0,nfl.g.20250918002,2025-09-18-07:00,Miami,Buffalo,"-11.5, O/U 50.5",50.5,71.31,19.56,-110.0,1.910,True,50.5,28.69,80.44,-110.0,1.910,False,600.0,7.000,2.79,4.02,False,-900.0,1.110,97.21,95.98,True,11.5,-102.0,1.980,52.97,28.27,True,-11.5,-102.0,1.980,47.03,71.73,False
0,nfl.g.20250921003,2025-09-21-07:00,Dallas,Chicago,"-1.5, O/U 50",50,26.71,21.56,-110.0,1.910,False,50,73.29,78.44,-110.0,1.910,True,-125.0,1.800,79.7,76.39,False,105.0,2.050,20.3,23.61,True,-1.5,-110.0,1.910,79.42,43.77,False,1.5,-110.0,1.910,20.58,56.23,True
0,nfl.g.20250921005,2025-09-21-07:00,Green Bay,Cleveland,"-7.5, O/U 41.5",41.5,27.42,30.77,-110.0,1.910,False,41.5,72.58,69.23,-118.0,1.850,True,-450.0,1.220,99.69,97.73,False,350.0,4.500,0.31,2.27,True,-7.5,-105.0,1.950,44.04,54.34,False,7.5,-115.0,1.870,55.96,45.66,True
0,nfl.g.20250921010,2025-09-21-07:00,Indianapolis,Tennessee,"-6, O/U 42.5",42.5,52.68,31.0,-110.0,1.910,True,42.5,47.32,69.0,-110.0,1.910,False,-275.0,1.360,96.57,93.39,True,225.0,3.250,3.43,6.61,False,-6,-110.0,1.910,68.49,53.61,True,6,-110.0,1.910,31.51,46.39,False
0,nfl.g.20250921016,2025-09-21-07:00,Cincinnati,Minnesota,"-3, O/U 42.5",42.5,32.7,27.51,-110.0,1.910,True,42.5,67.3,72.49,-110.0,1.910,False,140.0,2.400,26.25,32.58,False,-165.0,1.600,73.75,67.42,True,3,-110.0,1.910,57.16,63.19,False,-3,-110.0,1.910,42.84,36.81,True
0,nfl.g.20250921017,2025-09-21-07:00,Pittsburgh,New England,"-1, O/U 44.5",44.5,37.8,26.27,-110.0,1.910,False,44.5,62.2,73.73,-110.0,1.910,True,-118.0,1.850,65.04,68.29,True,-102.0,1.980,34.96,31.71,False,-1,-110.0,1.910,48.4,18.73,True,1,-110.0,1.910,51.6,81.27,False
0,nfl.g.20250921019,2025-09-21-07:00,Kansas City,NY Giants,"-6, O/U 44.5",44.5,59.94,33.58,-110.0,1.910,False,44.5,40.06,66.42,-110.0,1.910,True,-300.0,1.330,92.49,93.4,True,240.0,3.400,7.51,6.6,False,-6,-110.0,1.910,68.44,56.45,True,6,-110.0,1.910,31.56,43.55,False
